entity_id,risk_score,top_factors,reason_text,intervention_tier,bias_flag
STU-00072,0.3743,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. No immediate action required.",Low,True
STU-00073,0.8884,"['approval_rate', 'Course', 'Age at enrollment']","High risk due to low course approval rate, chosen course of study, and (mitigating) age at enrollment. Immediate intervention recommended.",High,True
STU-00074,0.2511,"['approval_rate', ""Father's occupation"", 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, father's occupation, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00075,0.7864,"['approval_rate', 'Debtor', 'Gender']","High risk due to low course approval rate, outstanding debt, and gender. Immediate intervention recommended.",High,True
STU-00076,0.7996,"['approval_rate', 'Admission grade', 'Previous qualification (grade)']","High risk due to low course approval rate, (mitigating) admission grade level, and (mitigating) prior qualification grade. Immediate intervention recommended.",High,True
STU-00077,0.0652,"['approval_rate', 'Unemployment rate', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-00078,0.0684,"['approval_rate', 'Scholarship holder', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-00079,0.0615,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-00080,0.0865,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and chosen course of study. No immediate action required.",Low,True
STU-00081,0.8986,"['approval_rate', 'Course', 'Curricular units 2nd sem (evaluations)']","High risk due to low course approval rate, chosen course of study, and 2nd semester evaluation attempts. Immediate intervention recommended.",High,True
STU-00082,0.7254,"['approval_rate', 'Debtor', 'Gender']","High risk due to low course approval rate, outstanding debt, and gender. Immediate intervention recommended.",High,True
STU-00083,0.1361,"['approval_rate', 'perf_delta', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, declining academic performance, and (mitigating) displacement status. No immediate action required.",Low,True
STU-00084,0.0634,"['approval_rate', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00085,0.065,"['approval_rate', 'Scholarship holder', ""Mother's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) mother's occupation. No immediate action required.",Low,True
STU-00086,0.0656,"['approval_rate', 'Admission grade', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-00087,0.0679,"['approval_rate', 'Course', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and father's occupation. No immediate action required.",Low,True
STU-00088,0.112,"['approval_rate', 'GDP', 'Gender']","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and gender. No immediate action required.",Low,True
STU-00089,0.8933,"['approval_rate', 'Previous qualification (grade)', 'Debtor']","High risk due to low course approval rate, prior qualification grade, and outstanding debt. Immediate intervention recommended.",High,True
STU-00090,0.8922,"['approval_rate', 'Unemployment rate', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, unemployment rate environment, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-00091,0.064,"['approval_rate', 'Tuition fees up to date', 'GDP']","Low risk. Key factors: (mitigating) low course approval rate, tuition payment status, and (mitigating) economic GDP conditions. No immediate action required.",Low,True
STU-00092,0.8978,"['approval_rate', 'Age at enrollment', 'Unemployment rate']","High risk due to low course approval rate, age at enrollment, and (mitigating) unemployment rate environment. Immediate intervention recommended.",High,True
STU-00093,0.9001,"['approval_rate', ""Mother's occupation"", ""Father's occupation""]","High risk due to low course approval rate, mother's occupation, and father's occupation. Immediate intervention recommended.",High,True
STU-00094,0.0611,"['approval_rate', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00095,0.0717,"['Nacionality', 'approval_rate', 'perf_delta']","Low risk. Key factors: (mitigating) nationality, (mitigating) low course approval rate, and declining academic performance. No immediate action required.",Low,True
STU-00096,0.0686,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-00097,0.0633,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-00098,0.0681,"['approval_rate', 'total_no_eval', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, skipping evaluations, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-00099,0.9005,"['approval_rate', 'Tuition fees up to date', 'Course']","High risk due to low course approval rate, tuition payment status, and chosen course of study. Immediate intervention recommended.",High,True
STU-00100,0.7123,"['approval_rate', 'GDP', 'Age at enrollment']","High risk due to low course approval rate, economic GDP conditions, and (mitigating) age at enrollment. Immediate intervention recommended.",High,True
STU-00101,0.2922,"['approval_rate', 'Curricular units 1st sem (enrolled)', 'Course']","Low risk. Key factors: low course approval rate, (mitigating) 1st semester enrollment, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-00102,0.8965,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'Course']","High risk due to low course approval rate, 2nd semester evaluation attempts, and (mitigating) chosen course of study. Immediate intervention recommended.",High,True
STU-00103,0.0612,"['approval_rate', 'Course', 'Marital Status']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) marital status. No immediate action required.",Low,True
STU-00104,0.9004,"['approval_rate', 'Course', 'Curricular units 2nd sem (evaluations)']","High risk due to low course approval rate, chosen course of study, and 2nd semester evaluation attempts. Immediate intervention recommended.",High,True
STU-00105,0.0616,"['approval_rate', 'Curricular units 2nd sem (approved)', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) low 2nd semester approvals, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-00106,0.8994,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, 2nd semester evaluation attempts, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-00107,0.6853,"['Previous qualification (grade)', 'approval_rate', 'Tuition fees up to date']","Moderate risk influenced by prior qualification grade, low course approval rate, and (mitigating) tuition payment status. Review within 30 days advised.",Medium,True
STU-00108,0.5972,"['Previous qualification (grade)', 'Tuition fees up to date', 'Application order']","Moderate risk influenced by prior qualification grade, (mitigating) tuition payment status, and application preference order. Review within 30 days advised.",Medium,True
STU-00109,0.2357,"['Course', 'Tuition fees up to date', 'approval_rate']","Low risk. Key factors: chosen course of study, (mitigating) tuition payment status, and low course approval rate. No immediate action required.",Low,True
STU-00110,0.0906,"['approval_rate', 'Admission grade', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, admission grade level, and unemployment rate environment. No immediate action required.",Low,True
STU-00111,0.093,"['approval_rate', 'Previous qualification (grade)', 'Tuition fees up to date']","Low risk. Key factors: low course approval rate, (mitigating) prior qualification grade, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00112,0.064,"['approval_rate', 'Course', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00113,0.1351,"['approval_rate', 'Previous qualification (grade)', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, prior qualification grade, and chosen course of study. No immediate action required.",Low,True
STU-00114,0.6056,"['total_no_eval', 'approval_rate', 'Admission grade']","Moderate risk influenced by skipping evaluations, (mitigating) low course approval rate, and admission grade level. Review within 30 days advised.",Medium,True
STU-00115,0.0624,"['approval_rate', 'Admission grade', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-00116,0.0776,"['approval_rate', 'Scholarship holder', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: low course approval rate, (mitigating) scholarship support, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-00117,0.1171,"['approval_rate', 'Tuition fees up to date', 'Age at enrollment']","Low risk. Key factors: low course approval rate, (mitigating) tuition payment status, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00118,0.0706,"['approval_rate', 'total_no_eval', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, skipping evaluations, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-00119,0.0709,"['approval_rate', 'Displaced', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-00120,0.775,"['approval_rate', 'Admission grade', 'Course']","High risk due to low course approval rate, admission grade level, and chosen course of study. Immediate intervention recommended.",High,True
STU-00121,0.0742,"['approval_rate', 'Admission grade', 'total_no_eval']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and skipping evaluations. No immediate action required.",Low,True
STU-00122,0.5571,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","Moderate risk influenced by low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. Review within 30 days advised.",Medium,True
STU-00123,0.0632,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and admission grade level. No immediate action required.",Low,True
STU-00124,0.0622,"['approval_rate', 'Course', 'grade_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and dropping grades between semesters. No immediate action required.",Low,True
STU-00125,0.8999,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'grade_delta']","High risk due to low course approval rate, 2nd semester evaluation attempts, and dropping grades between semesters. Immediate intervention recommended.",High,True
STU-00126,0.0636,"['approval_rate', 'Course', ""Mother's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) mother's occupation. No immediate action required.",Low,True
STU-00127,0.073,"['approval_rate', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00128,0.078,"['approval_rate', ""Father's occupation"", 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, father's occupation, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00129,0.0778,"['approval_rate', 'Application order', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, application preference order, and admission grade level. No immediate action required.",Low,True
STU-00130,0.5559,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Unemployment rate']","Moderate risk influenced by (mitigating) low course approval rate, 2nd semester grades, and unemployment rate environment. Review within 30 days advised.",Medium,True
STU-00131,0.0613,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-00132,0.0652,"['approval_rate', 'GDP', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00133,0.8993,"['approval_rate', 'grade_delta', 'Application order']","High risk due to low course approval rate, dropping grades between semesters, and application preference order. Immediate intervention recommended.",High,True
STU-00134,0.0616,"['approval_rate', 'Unemployment rate', 'perf_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and declining academic performance. No immediate action required.",Low,True
STU-00135,0.8985,"['Tuition fees up to date', 'Debtor', 'Course']","High risk due to tuition payment status, outstanding debt, and chosen course of study. Immediate intervention recommended.",High,True
STU-00136,0.0823,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and chosen course of study. No immediate action required.",Low,True
STU-00137,0.0612,"[""Mother's occupation"", 'approval_rate', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) mother's occupation, (mitigating) low course approval rate, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-00138,0.0632,"['approval_rate', 'Age at enrollment', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) age at enrollment, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00139,0.0765,"['approval_rate', 'Admission grade', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) displacement status. No immediate action required.",Low,True
STU-00140,0.0711,"['approval_rate', 'Unemployment rate', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) unemployment rate environment, and prior qualification grade. No immediate action required.",Low,True
STU-00141,0.0931,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and chosen course of study. No immediate action required.",Low,True
STU-00142,0.2718,"['approval_rate', 'Previous qualification (grade)', 'GDP']","Low risk. Key factors: low course approval rate, (mitigating) prior qualification grade, and (mitigating) economic GDP conditions. No immediate action required.",Low,True
STU-00143,0.0654,"['approval_rate', 'Admission grade', ""Father's occupation""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) father's occupation. No immediate action required.",Low,True
