entity_id,risk_score,top_factors,reason_text,intervention_tier,bias_flag
STU-00015,0.8744,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 2nd sem (approved)']","High risk due to ratio curricular units 2nd sem, course, and curricular units 2nd sem (approved). Immediate review recommended.",High,True
STU-00016,0.2483,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', ""Father's qualification""]","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) age at enrollment, and (mitigating) father's qualification. No immediate action required.",Low,True
STU-00017,0.0769,"['ratio_curricular_units_2nd_sem', 'Unemployment rate', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, unemployment rate, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00018,0.0761,"['ratio_curricular_units_2nd_sem', ""Mother's qualification"", 'Curricular units 1st sem (without evaluations)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) mother's qualification, and curricular units 1st sem (without evaluations). No immediate action required.",Low,True
STU-00019,0.0896,"['ratio_curricular_units_2nd_sem', 'Course', 'Application mode']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, course, and (mitigating) application mode. No immediate action required.",Low,True
STU-00020,0.1498,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). No immediate action required.",Low,True
STU-00021,0.0763,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00022,0.0741,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', ""Father's occupation""]","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 2nd sem (evaluations), and father's occupation. No immediate action required.",Low,True
STU-00023,0.0655,"['ratio_curricular_units_2nd_sem', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and course. No immediate action required.",Low,True
STU-00024,0.0771,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (grade)', 'GDP']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 2nd sem (grade), and gdp. No immediate action required.",Low,True
STU-00025,0.3059,"['Debtor', 'Scholarship holder', 'Tuition fees up to date']","Low risk. Key factors: debtor, (mitigating) scholarship holder, and (mitigating) tuition fees up to date. No immediate action required.",Low,True
STU-00026,0.0666,"['ratio_curricular_units_2nd_sem', 'Admission grade', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00027,0.0764,"['ratio_curricular_units_2nd_sem', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and admission grade. No immediate action required.",Low,True
STU-00028,0.0641,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and (mitigating) curricular units 2nd sem (grade). No immediate action required.",Low,True
STU-00029,0.0862,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (grade)', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, curricular units 2nd sem (grade), and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00030,0.0714,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00031,0.0673,"[""Mother's occupation"", 'ratio_curricular_units_1st_sem', 'GDP']","Low risk. Key factors: (mitigating) mother's occupation, (mitigating) ratio curricular units 1st sem, and gdp. No immediate action required.",Low,True
STU-00032,0.2421,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', 'GDP']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) age at enrollment, and (mitigating) gdp. No immediate action required.",Low,True
STU-00033,0.0647,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00034,0.0883,"['ratio_curricular_units_2nd_sem', 'Course', 'Admission grade']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, course, and admission grade. No immediate action required.",Low,True
STU-00035,0.895,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'Age at enrollment']","High risk due to tuition fees up to date, ratio curricular units 2nd sem, and age at enrollment. Immediate review recommended.",High,True
STU-00036,0.8964,"['ratio_curricular_units_2nd_sem', ""Mother's occupation"", 'Curricular units 2nd sem (evaluations)']","High risk due to ratio curricular units 2nd sem, mother's occupation, and curricular units 2nd sem (evaluations). Immediate review recommended.",High,True
STU-00037,0.8695,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', 'ratio_curricular_units_1st_sem']","High risk due to ratio curricular units 2nd sem, age at enrollment, and ratio curricular units 1st sem. Immediate review recommended.",High,True
STU-00038,0.0688,"['ratio_curricular_units_2nd_sem', 'Marital Status', 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) marital status, and course. No immediate action required.",Low,True
STU-00039,0.8679,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'Nacionality']","High risk due to tuition fees up to date, ratio curricular units 2nd sem, and (mitigating) nacionality. Immediate review recommended.",High,True
STU-00040,0.8904,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 2nd sem (approved)']","High risk due to ratio curricular units 2nd sem, course, and curricular units 2nd sem (approved). Immediate review recommended.",High,True
STU-00041,0.0649,"['ratio_curricular_units_2nd_sem', 'Curricular units 1st sem (grade)', 'GDP']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 1st sem (grade), and gdp. No immediate action required.",Low,True
STU-00042,0.0625,"['ratio_curricular_units_2nd_sem', 'Previous qualification (grade)', 'Admission grade']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) previous qualification (grade), and (mitigating) admission grade. No immediate action required.",Low,True
STU-00043,0.8702,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'GDP']","High risk due to tuition fees up to date, (mitigating) ratio curricular units 2nd sem, and gdp. Immediate review recommended.",High,True
STU-00044,0.8961,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', 'Age at enrollment']","High risk due to ratio curricular units 2nd sem, curricular units 2nd sem (evaluations), and age at enrollment. Immediate review recommended.",High,True
STU-00045,0.2258,"['Curricular units 2nd sem (grade)', ""Father's occupation"", 'Course']","Low risk. Key factors: (mitigating) curricular units 2nd sem (grade), (mitigating) father's occupation, and course. No immediate action required.",Low,True
STU-00046,0.1149,"['ratio_curricular_units_2nd_sem', 'GDP', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, gdp, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00047,0.1369,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and curricular units 2nd sem (grade). No immediate action required.",Low,True
STU-00048,0.0635,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00049,0.0647,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and (mitigating) tuition fees up to date. No immediate action required.",Low,True
STU-00050,0.0628,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and (mitigating) curricular units 2nd sem (grade). No immediate action required.",Low,True
STU-00051,0.0644,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', ""Father's occupation""]","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-00052,0.0856,"['Curricular units 1st sem (grade)', 'ratio_curricular_units_2nd_sem', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) curricular units 1st sem (grade), ratio curricular units 2nd sem, and (mitigating) tuition fees up to date. No immediate action required.",Low,True
STU-00053,0.0635,"['ratio_curricular_units_2nd_sem', 'Curricular units 1st sem (grade)', 'Unemployment rate']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 1st sem (grade), and (mitigating) unemployment rate. No immediate action required.",Low,True
STU-00054,0.6337,"['ratio_curricular_units_2nd_sem', 'Course', 'Age at enrollment']","Moderate risk influenced by (mitigating) ratio curricular units 2nd sem, course, and age at enrollment. Review within 30 days advised.",Medium,True
STU-00055,0.0777,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Admission grade']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and admission grade. No immediate action required.",Low,True
STU-00056,0.8944,"['ratio_curricular_units_2nd_sem', 'Course', 'Age at enrollment']","High risk due to ratio curricular units 2nd sem, course, and age at enrollment. Immediate review recommended.",High,True
STU-00057,0.6704,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', 'Curricular units 2nd sem (credited)']","Moderate risk influenced by (mitigating) ratio curricular units 2nd sem, age at enrollment, and curricular units 2nd sem (credited). Review within 30 days advised.",Medium,True
STU-00058,0.0671,"['ratio_curricular_units_2nd_sem', 'Curricular units 1st sem (grade)', 'Admission grade']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 1st sem (grade), and admission grade. No immediate action required.",Low,True
STU-00059,0.2201,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). No immediate action required.",Low,True
STU-00060,0.0666,"['ratio_curricular_units_2nd_sem', 'Admission grade', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00061,0.0652,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Scholarship holder']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and (mitigating) scholarship holder. No immediate action required.",Low,True
STU-00062,0.3042,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). No immediate action required.",Low,True
STU-00063,0.2464,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00064,0.4858,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Moderate risk influenced by ratio curricular units 2nd sem, (mitigating) course, and ratio curricular units 1st sem. Review within 30 days advised.",Medium,True
STU-00065,0.8528,"['Age at enrollment', 'ratio_curricular_units_1st_sem', ""Father's qualification""]","High risk due to age at enrollment, ratio curricular units 1st sem, and father's qualification. Immediate review recommended.",High,True
STU-00066,0.1349,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). No immediate action required.",Low,True
STU-00067,0.064,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00068,0.7,"['Debtor', 'Curricular units 2nd sem (grade)', 'ratio_curricular_units_2nd_sem']","Moderate risk influenced by debtor, curricular units 2nd sem (grade), and (mitigating) ratio curricular units 2nd sem. Review within 30 days advised.",Medium,True
STU-00069,0.1306,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and age at enrollment. No immediate action required.",Low,True
STU-00070,0.5284,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', 'Unemployment rate']","Moderate risk influenced by ratio curricular units 2nd sem, (mitigating) age at enrollment, and (mitigating) unemployment rate. Review within 30 days advised.",Medium,True
STU-00071,0.0862,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and (mitigating) curricular units 2nd sem (approved). No immediate action required.",Low,True
STU-00072,0.2207,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). No immediate action required.",Low,True
STU-00073,0.8849,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Age at enrollment']","High risk due to ratio curricular units 2nd sem, ratio curricular units 1st sem, and (mitigating) age at enrollment. Immediate review recommended.",High,True
STU-00074,0.3162,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) age at enrollment, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00075,0.8,"['Debtor', 'ratio_curricular_units_1st_sem', 'Gender']","High risk due to debtor, ratio curricular units 1st sem, and gender. Immediate review recommended.",High,True
STU-00076,0.8541,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Previous qualification (grade)']","High risk due to ratio curricular units 2nd sem, ratio curricular units 1st sem, and (mitigating) previous qualification (grade). Immediate review recommended.",High,True
STU-00077,0.0717,"['ratio_curricular_units_2nd_sem', 'Unemployment rate', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) unemployment rate, and (mitigating) curricular units 2nd sem (approved). No immediate action required.",Low,True
STU-00078,0.0669,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and (mitigating) curricular units 2nd sem (approved). No immediate action required.",Low,True
STU-00079,0.063,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00080,0.0812,"['ratio_curricular_units_2nd_sem', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and course. No immediate action required.",Low,True
STU-00081,0.8929,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', 'Course']","High risk due to ratio curricular units 2nd sem, curricular units 2nd sem (evaluations), and course. Immediate review recommended.",High,True
STU-00082,0.7465,"['ratio_curricular_units_1st_sem', 'Curricular units 2nd sem (approved)', 'Curricular units 2nd sem (credited)']","High risk due to ratio curricular units 1st sem, (mitigating) curricular units 2nd sem (approved), and curricular units 2nd sem (credited). Immediate review recommended.",High,True
STU-00083,0.1281,"['ratio_curricular_units_1st_sem', 'Tuition fees up to date', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 1st sem, (mitigating) tuition fees up to date, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00084,0.0652,"['Course', 'ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) course, (mitigating) ratio curricular units 2nd sem, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00085,0.064,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', ""Mother's occupation""]","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and (mitigating) mother's occupation. No immediate action required.",Low,True
STU-00086,0.0658,"['ratio_curricular_units_2nd_sem', 'Admission grade', 'Scholarship holder']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and (mitigating) scholarship holder. No immediate action required.",Low,True
STU-00087,0.0693,"['ratio_curricular_units_2nd_sem', ""Father's occupation"", 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, father's occupation, and (mitigating) course. No immediate action required.",Low,True
STU-00088,0.1317,"['ratio_curricular_units_2nd_sem', 'GDP', ""Mother's occupation""]","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, gdp, and (mitigating) mother's occupation. No immediate action required.",Low,True
STU-00089,0.8905,"['ratio_curricular_units_2nd_sem', 'Previous qualification (grade)', 'ratio_curricular_units_1st_sem']","High risk due to ratio curricular units 2nd sem, previous qualification (grade), and ratio curricular units 1st sem. Immediate review recommended.",High,True
STU-00090,0.8871,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Course']","High risk due to ratio curricular units 2nd sem, ratio curricular units 1st sem, and course. Immediate review recommended.",High,True
STU-00091,0.0674,"['ratio_curricular_units_2nd_sem', 'Tuition fees up to date', 'GDP']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, tuition fees up to date, and (mitigating) gdp. No immediate action required.",Low,True
STU-00092,0.8945,"['ratio_curricular_units_2nd_sem', 'Curricular units 1st sem (without evaluations)', 'ratio_curricular_units_1st_sem']","High risk due to ratio curricular units 2nd sem, curricular units 1st sem (without evaluations), and ratio curricular units 1st sem. Immediate review recommended.",High,True
STU-00093,0.8958,"['ratio_curricular_units_2nd_sem', ""Mother's occupation"", ""Father's occupation""]","High risk due to ratio curricular units 2nd sem, mother's occupation, and father's occupation. Immediate review recommended.",High,True
STU-00094,0.0624,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00095,0.0902,"['Nacionality', ""Mother's occupation"", 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) nacionality, (mitigating) mother's occupation, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00096,0.0758,"['ratio_curricular_units_2nd_sem', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, course, and (mitigating) unemployment rate. No immediate action required.",Low,True
STU-00097,0.0649,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (grade)', 'Scholarship holder']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 2nd sem (grade), and (mitigating) scholarship holder. No immediate action required.",Low,True
STU-00098,0.0635,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and (mitigating) course. No immediate action required.",Low,True
STU-00099,0.8962,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'Previous qualification (grade)']","High risk due to tuition fees up to date, ratio curricular units 2nd sem, and previous qualification (grade). Immediate review recommended.",High,True
STU-00100,0.7336,"['ratio_curricular_units_2nd_sem', 'GDP', 'Curricular units 2nd sem (credited)']","High risk due to ratio curricular units 2nd sem, gdp, and curricular units 2nd sem (credited). Immediate review recommended.",High,True
STU-00101,0.2935,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). No immediate action required.",Low,True
STU-00102,0.8924,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', 'ratio_curricular_units_1st_sem']","High risk due to ratio curricular units 2nd sem, curricular units 2nd sem (evaluations), and ratio curricular units 1st sem. Immediate review recommended.",High,True
STU-00103,0.0626,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00104,0.8961,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', 'Course']","High risk due to ratio curricular units 2nd sem, curricular units 2nd sem (evaluations), and course. Immediate review recommended.",High,True
STU-00105,0.0629,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and (mitigating) course. No immediate action required.",Low,True
STU-00106,0.8952,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', 'ratio_curricular_units_1st_sem']","High risk due to ratio curricular units 2nd sem, curricular units 2nd sem (evaluations), and ratio curricular units 1st sem. Immediate review recommended.",High,True
STU-00107,0.6786,"['Previous qualification (grade)', 'ratio_curricular_units_1st_sem', 'Age at enrollment']","Moderate risk influenced by previous qualification (grade), ratio curricular units 1st sem, and (mitigating) age at enrollment. Review within 30 days advised.",Medium,True
STU-00108,0.5676,"['Previous qualification (grade)', 'Application order', 'Tuition fees up to date']","Moderate risk influenced by previous qualification (grade), application order, and (mitigating) tuition fees up to date. Review within 30 days advised.",Medium,True
STU-00109,0.2473,"['ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem', 'Course']","Low risk. Key factors: ratio curricular units 2nd sem, (mitigating) ratio curricular units 1st sem, and course. No immediate action required.",Low,True
STU-00110,0.085,"['ratio_curricular_units_2nd_sem', 'Unemployment rate', 'Admission grade']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, unemployment rate, and admission grade. No immediate action required.",Low,True
STU-00111,0.0863,"[""Father's qualification"", 'Scholarship holder', 'Age at enrollment']","Low risk. Key factors: (mitigating) father's qualification, (mitigating) scholarship holder, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00112,0.0635,"['ratio_curricular_units_2nd_sem', 'Course', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00113,0.114,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, course, and (mitigating) curricular units 2nd sem (grade). No immediate action required.",Low,True
STU-00114,0.5869,"['Curricular units 1st sem (without evaluations)', 'ratio_curricular_units_2nd_sem', 'Admission grade']","Moderate risk influenced by curricular units 1st sem (without evaluations), (mitigating) ratio curricular units 2nd sem, and admission grade. Review within 30 days advised.",Medium,True
STU-00115,0.0629,"['ratio_curricular_units_2nd_sem', 'Admission grade', ""Father's occupation""]","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-00116,0.0849,"['Scholarship holder', 'ratio_curricular_units_1st_sem', 'Age at enrollment']","Low risk. Key factors: (mitigating) scholarship holder, ratio curricular units 1st sem, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00117,0.1288,"['Age at enrollment', 'Tuition fees up to date', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) age at enrollment, (mitigating) tuition fees up to date, and ratio curricular units 1st sem. No immediate action required.",Low,True
